	PlaceTest	DateTest	Rate	TextRate	HourTest	Sex	MaritalStatus	Education	Hometown	Neighborhood	Approved	AllRate	HasTextRate	Month	Year
54	1	2017-03-01	6.8	1.8	1	1	1	3	Belo Horizonte	Nova Suíssa	1	8.6	1	3	2017
55	1	2017-01-14	6.75	2.0	2	1	4	8	PIMENTA BUENO	Centro	1	8.75	1	1	2017
56	1	2017-08-01	6.75	2.0	1	1	4	9	Barbacena	Funcionários	1	8.75	1	8	2017
57	1	2017-10-01	6.7	1.7	1	1	1	4	Belo Horizonte	Manacás	1	8.4	1	10	2017
58	1	2017-01-13	6.65	1.9	2	1	1	8	CURVELO	Coqueiros	1	8.55	1	1	2017
59	1	2017-01-13	6.65	1.9	1	1	4	8	GOVERNADOR VALADARES	Vila São Paulo	1	8.55	1	1	2017
60	1	2017-01-16	6.65	1.4	1	1	1	3	BELO HORIZONTE	Papine (Justinópolis)	1	8.05	1	1	2017
61	1	2017-01-15	6.65	1.4	2	2	1	5	Governador Valadares	Santa Terezinha	1	8.05	1	1	2017
62	1	2017-01-16	6.6	1.6	1	1	4	3	Belo Horizonte	Eldorado	1	8.2	1	1	2017
63	1	2017-03-01	6.55	2.3	1	1	4	8	MONTES CLAROS	Inconfidência	1	8.85	1	3	2017
64	1	2017-08-01	6.55	1.3	1	1	1	9	Mariana	Fernão Dias	1	7.85	1	8	2017
65	1	2017-01-13	6.5	2.0	1	1	1	8	passos	Madre Gertrudes	1	8.5	1	1	2017
66	1	2017-01-15	6.5	1.5	2	1	1	3	Belo Horizonte	Santa Cruz	1	8.0	1	1	2017
67	1	2017-08-01	6.45	1.7	1	2	4	3	BELO HORIZONTE	Centro	1	8.15	1	8	2017
68	1	2017-03-01	6.45	1.7	1	1	4	3	Belo Horizonte	Horto	1	8.15	1	3	2017
69	1	2017-01-17	6.4	1.9	1	1	4	3	IPATINGA 	Centro	1	8.3	1	1	2017
70	1	2017-01-15	6.4	1.4	2	2	4	4	BELO HORIZONTE	Ipiranga	1	7.800000000000001	1	1	2017
71	1	2017-01-13	6.35	2.1	1	2	2	4	Bom Despacho	Vila Aurora	1	8.45	1	1	2017
72	1	2017-01-14	6.35	1.6	2	2	2	0	barão de cocais	santa lucia	1	7.949999999999999	1	1	2017
73	1	2017-01-16	6.3	1.8	2	2	1	8	Belo Horizonte 	Palmares	1	8.1	1	1	2017
74	1	2017-01-13	6.2	1.7	1	2	4	9	Contagem	Inconfidentes	1	7.9	1	1	2017
75	1	2017-01-15	6.2	1.2	2	1	4	3	João Monlevade	Linda Vista	1	7.4	1	1	2017
76	1	2017-10-01	6.15	2.4	1	2	4	8	Belo Horizonte	Serra	1	8.55	1	10	2017
77	1	2017-01-15	6.15	1.9	2	1	1	3	BELO HORIZONTE	JK	1	8.05	1	1	2017
78	1	2017-01-13	6.15	1.9	2	1	1	4	SABARÁ	Borba Gato	1	8.05	1	1	2017
79	1	2017-01-13	6.1	2.1	1	1	1	3	Conselheiro Lafaiete	Alípio de Melo	1	8.2	1	1	2017
80	1	2017-09-01	6.1	1.6	2	1	4	8	Teófilo Otoni	Coração de Jesus	1	7.699999999999999	1	9	2017
81	1	2017-01-15	6.1	1.6	2	2	4	9	Belo horizonte	Céu Azul	1	7.699999999999999	1	1	2017
82	1	2017-01-14	6.05	1.8	2	1	4	8	Boa Esperança	Centro	1	7.85	1	1	2017
83	1	2017-01-16	6.05	1.8	2	1	1	3	IPATINGA	Santa Marta	1	7.85	1	1	2017
84	1	2017-01-13	6.05	1.8	2	1	4	3	belo horizonte	Floresta	1	7.85	1	1	2017
85	1	2017-01-13	6.0	2.0	2	1	1	8	24130	Zona Rural	1	8.0	1	1	2017
86	1	2017-01-13	6.0	2.0	1	2	2	8	PITANGUI	CASTELO BRANCO	1	8.0	1	1	2017
87	1	2017-03-01	6.0	1.5	1	1	4	3	lavras	Alto dos Pinheiros	1	7.5	1	3	2017
88	1	2017-01-15	6.0	1.5	2	1	1	9	BELO HORIZONTE	Nacional	1	7.5	1	1	2017
89	1	2017-01-17	5.95	1.7	1	2	1	3	BELO HORIZONTE	Praia	1	7.65	1	1	2017
90	1	2017-06-01	5.9	1.9	1	1	4	8	BELO HORIZONTE	Jardim Alvorada	1	7.800000000000001	1	6	2017
91	1	2017-02-01	5.9	1.9	1	1	4	8	Ipanema	Centro	1	7.800000000000001	1	2	2017
92	1	2017-01-15	5.85	2.1	2	2	4	8	Belo Horizonte	João Pinheiro	1	7.949999999999999	1	1	2017
93	1	2017-01-17	5.85	2.1	1	1	4	3	RESENDE COSTA 	RENASCENÇA	1	7.949999999999999	1	1	2017
94	1	2017-01-16	5.85	1.6	2	1	4	3	Belo Horizonte	Jardim dos Comerciários	1	7.449999999999999	1	1	2017
95	1	2017-01-15	5.85	1.1	2	1	1	8	BELO HORIZONTE	CIDADE JARDIM	1	6.949999999999999	1	1	2017
96	1	2017-06-01	5.85	1.1	2	1	1	3	sarzedo	Brasilia	1	6.949999999999999	1	6	2017
97	1	2017-01-15	5.8	1.8	2	1	4	3	Brasilia	São Geraldo	1	7.6	1	1	2017
98	1	2017-01-16	5.8	1.8	1	1	4	3	Contagem	Inconfidentes	1	7.6	1	1	2017
99	1	2017-01-15	5.8	1.3	2	2	4	9	Belo Horizonte 	Condomínio Retiro do Chale	1	7.1	1	1	2017
100	1	2017-01-16	5.75	2.0	2	1	4	9	Santa Luzia 	Frimisa	1	7.75	1	1	2017
101	1	2017-10-01	5.75	1.5	1	2	4	8	Belo Horizonte	Indústrias II	1	7.25	1	10	2017
102	1	2017-01-16	5.75	1.5	1	1	1	5	BELO HORIZONTE	Fazenda Laginha	1	7.25	1	1	2017
103	1	2017-03-01	5.7	1.7	1	1	1	4	São Domingos do Prata	Gutierrez	1	7.4	1	3	2017
104	1	2017-01-16	5.7	1.7	2	1	1	3	Belo Horizonte	Buritis	1	7.4	1	1	2017
105	1	2017-01-15	5.7	1.2	2	2	2	8	Tiros	N S Aparecida	1	6.9	1	1	2017
106	1	2017-01-15	5.7	1.2	2	1	1	4	BELO HORIZONTE	União	1	6.9	1	1	2017
107	1	2017-01-15	5.7	1.2	2	2	4	8	BELO HORIZONTE	Darcy Vargas	1	6.9	1	1	2017
108	1	2017-01-14	5.65	1.9	2	2	4	3	CRUCILÂNDIA 	Centro	1	7.550000000000001	1	1	2017
109	1	2017-01-01	5.6	1.6	2	1	4	3	Belo Horizonte	Três Barras	1	7.199999999999999	1	1	2017
110	1	2017-01-13	5.6	1.1	1	1	1	3	Abre Campo	Camargos	1	6.699999999999999	1	1	2017
111	1	2017-01-15	5.55	1.3	1	2	4	3	Carbonita	Ouro Preto	1	6.85	1	1	2017
112	1	2017-01-16	5.5	1.5	2	1	1	3	Serrania	Jardim América I	1	7.0	1	1	2017
113	1	2017-01-14	5.5	1.5	2	2	4	3	ITAMBACURI	HOLLYWOOD	1	7.0	1	1	2017
114	1	2017-01-16	5.5	1.0	2	1	4	4	Belo Horizonte	Salgado Filho	1	6.5	1	1	2017
115	1	2017-01-13	5.45	1.7	1	2	1	8	BELO HORIZONTE	Sapucaia	1	7.15	1	1	2017
